Clasificación,ID,Nombre,NIT,,
INSTITUCIONES DESCENTRALIZADAS,92449,CDE CASERIO LOS RIVAS CANTON NANCINTEPEQUE,2101408131039,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92015,CDE CASERIO VILLA TZU-CHI CANTON ATEOS,5131408131010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,91367,CDE CE CRIO COMUNIDAD EL AMATE II CT SANTA BARBARA,11232310141011,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,73062,CDE CENTO ESCOLAR COLONIA SAN RAMON,6140703971430,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54428,CDE CENTO ESCOLAR REPUBLICA DE HONDURAS,6140404971083,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92451,CDE CENTRO DE EDUCACION PARVULARIA COLONIA SANTA LUCIA,6071402971033,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48907,CDE CENTRO EDUCATIVO PROFESORA MARIA AMANDA ARTIGA DE VILLALTA,6142802971592,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,94502,CDE CENTRO EL ESCOLAR PROFESOR EMILIO URRUTIA LOPEZ,6182102971062,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,58853,CDE CENTRO ESC CANTON EL PALON J/LOLOTIQ,12081205981018,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,93437,CDE CENTRO ESC CR COL ARTURO ARMANDO MOLINA CT EL EDEN,3152611141020,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,58218,CDE CENTRO ESC MERCEDES MONTERROSA DE CARCAMO,6141804971119,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,52537,CDE CENTRO ESCOLAR 14 DE ABRIL,12072102971015,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,47814,CDE CENTRO ESCOLAR 14 DE DICIEMBRE DE 1948,6172802971033,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54457,CDE CENTRO ESCOLAR 15 DE SEPTIEMBRE,8213011011015,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54831,CDE CENTRO ESCOLAR 15 DE SEPTIEMBRE,9040807991013,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92482,CDE CENTRO ESCOLAR 16 DE AGOSTO DE 1996 CANTON SANTA LUCIA,8212802971091,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,51970,CDE CENTRO ESCOLAR 1 DE JULIO DE 1823,6142802971746,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,21,CDE CENTRO ESCOLAR 1 DE JULIO DE 1823,6140703971278,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54832,CDE CENTRO ESCOLAR 22 DE JUNIO,4121602011018,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48414,CDE CENTRO ESCOLAR 22 DE JUNIO,6081107011015,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,52799,CDE CENTRO ESCOLAR ABDON CORDERO J/SAN MIGUEL,12172102971290,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,57808,CDE CENTRO ESCOLAR ABEL WILFREDO VELASCO  CARCAMO,6142102971907,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48153,CDE CENTRO ESCOLAR ACCION CIVICA MILITAR,6141206961087,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,49664,CDE CENTRO ESCOLAR AGUSTIN LINARES,6172102971040,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48661,CDE CENTRO ESCOLAR ALBERTO GUERRA TRIGUEROS,3022802971014,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55387,CDE CENTRO ESCOLAR ALBERTO MASFERRER,13212802971016,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,51940,CDE CENTRO ESCOLAR ALBERTO MASFERRER,8050207011017,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54774,CDE CENTRO ESCOLAR ALBERTO MASFERRER,12181402971029,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48406,CDE CENTRO ESCOLAR ALBERTO MASFERRER,11231402971022,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54775,CDE CENTRO ESCOLAR ALBERTO MASFERRER,11012102971019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54776,CDE CENTRO ESCOLAR ALBERTO MENJIVAR RODRIGUEZ,9081402971013,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,53604,CDE CENTRO ESCOLAR ALBERTO RECINO H,12052105971022,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,53605,CDE CENTRO ESCOLAR ALBERTO SANCHEZ J/   CHINAMECA,12051403971013,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,15,CDE CENTRO ESCOLAR ALEJANDRO DE HUMBOLDT,6140110981056,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,53606,CDE CENTRO ESCOLAR ALFREDO ESPINO,1012102971029,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54777,CDE CENTRO ESCOLAR ALFREDO ESPINO,4241402971012,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,47804,CDE CENTRO ESCOLAR AMALIA VDA DE MENENDEZ,6082102971025,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55388,CDE CENTRO ESCOLAR ANA RITA VELEZ DE MOREIRA,12121402971018,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,57809,CDE CENTRO ESCOLAR ANGELA MARIA ARAUJO,11162305971016,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,50469,CDE CENTRO ESCOLAR ANITA ALVARADO,7022802971094,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54778,CDE CENTRO ESCOLAR ANITA GUERRERO,11232802971044,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,68340,CDE CENTRO ESCOLAR ANTONIA GALINDO,10101403971030,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,81463,CDE CENTRO ESCOLAR ANTONIA VELASCO,9060111971019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,47805,CDE CENTRO ESCOLAR ANTONIO FERNANDEZ IBAÑEZ,12172002971020,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,52527,CDE CENTRO ESCOLAR ARENEROS,4072102971014,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,65582,CDE CENTRO ESCOLAR ARTURO AMBROGI,5032802971033,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,52256,CDE CENTRO ESCOLAR ASENTAMIENTO DE LA COLONIA POPOTLAN,6021705011019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92452,CDE CENTRO ESCOLAR ASENTAMIENTO SAN JOSE,13192802971066,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92741,CDE CENTRO ESCOLAR ASENTAMIENTO SANTA BARBARA CANTON SAN MARCOS,13172802971030,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,88920,CDE CENTRO ESCOLAR ASOCIACION SALVADOREÑA DE SEÑORAS DE INGENIEROS CIVILES,6080110981010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54779,CDE CENTRO ESCOLAR BA LA FATIMA LA UNION,14080111971052,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,53607,CDE CENTRO ESCOLAR BALTAZAR PARADA,11212102971018,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,74179,CDE CENTRO ESCOLAR BARRIO CONCEPCION    MERCEDES UMAÑA,11112103971025,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,84900,CDE CENTRO ESCOLAR BARRIO EL CENTRO,4162102971072,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48154,CDE CENTRO ESCOLAR BARRIO EL PROGRESO,6171402971020,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,53608,CDE CENTRO ESCOLAR BARRIO LA MERCED,12182102971023,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,16,CDE CENTRO ESCOLAR BARRIO LAS DELICIAS,6082102971017,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55389,CDE CENTRO ESCOLAR BARRIO LAS DELICIAS,14162102971046,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55390,CDE CENTRO ESCOLAR BARRIO SAN BENITO,12181402971010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48662,CDE CENTRO ESCOLAR BASILIO BLANDON,11231402971014,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,52257,CDE CENTRO ESCOLAR BENITO NOLASCO,13052802971019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,88627,CDE CENTRO ESCOLAR BENJAMIN BLOOM,6022802971082,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,17,CDE CENTRO ESCOLAR BERNARDO PERDOMO,9031402971016,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92938,CDE CENTRO ESCOLAR BOSQUES DEL RIO,6172102971083,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,61461,CDE CENTRO ESCOLAR CAMILO CAMPOS,6152102971023,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48407,CDE CENTRO ESCOLAR CAMPAMENTO BANCO HIPOTECARIO,6142202971033,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,85372,CDE CENTRO ESCOLAR CANTON AGUA SANTA,6141804971127,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,76329,CDE CENTRO ESCOLAR CANTON ALDEA DE LAS MERCEDES,6092102971012,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,91015,CDE CENTRO ESCOLAR CANTON AMATECAMPO DE SAN LUIS TALPA,8132802971012,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92453,CDE CENTRO ESCOLAR CANTON APANCOYO ARRIBA,3042611141012,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92195,CDE CENTRO ESCOLAR CANTON BUENA VISTA,5131011141019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,18,CDE CENTRO ESCOLAR CANTON CALLE REAL,6192802971026,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,81947,CDE CENTRO ESCOLAR CANTON CERRO COLORADO,9031603011010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,84901,CDE CENTRO ESCOLAR CANTON CHANMICO,5152102971011,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,87602,CDE CENTRO ESCOLAR CANTON CHILATA,6142802971495,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,75373,CDE CENTRO ESCOLAR CANTON CUNTAN,3062102971023,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,75644,CDE CENTRO ESCOLAR CANTON CUYAGUALO,3060703971010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,50781,CDE CENTRO ESCOLAR CANTON EL ANGEL,6022802971040,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54429,CDE CENTRO ESCOLAR CANTON EL BORBOLLON,12171209971011,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54780,CDE CENTRO ESCOLAR CANTON EL BRAZO,12172102971273,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,51941,CDE CENTRO ESCOLAR CANTON EL CAPULIN,5032102971016,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92742,CDE CENTRO ESCOLAR CANTON EL CASTILLO,5151405981030,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,84902,CDE CENTRO ESCOLAR CANTON EL CIMARRON,5092102971027,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92454,CDE CENTRO ESCOLAR CANTON EL COPINOL,8210402991031,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,93147,CDE CENTRO ESCOLAR CANTON EL EDEN,6140409971057,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55061,CDE CENTRO ESCOLAR CANTON EL ESPINO,11102802971019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92455,CDE CENTRO ESCOLAR CANTON EL ESPINO ABAJO,8212802971113,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92456,CDE CENTRO ESCOLAR CANTON EL GAVILAN,14050109771015,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,53609,CDE CENTRO ESCOLAR CANTON EL JALACATAL,12171402971147,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,51664,CDE CENTRO ESCOLAR CANTON EL MATAZANO,6170703971010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54430,CDE CENTRO ESCOLAR CANTON EL PAPALON,12172802971088,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54072,CDE CENTRO ESCOLAR CANTON EL PAPALON,12091402971020,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55062,CDE CENTRO ESCOLAR CANTON EL PORVENIR,11042102971015,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,93438,CDE CENTRO ESCOLAR CANTON EL PRESIDIO,3150409971019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,63676,CDE CENTRO ESCOLAR CANTON EL PROGRESO,5111403771028,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54073,CDE CENTRO ESCOLAR CANTON EL REBAISE,12172102971060,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54074,CDE CENTRO ESCOLAR CANTON EL TAMARINDO,14042102971016,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,53610,CDE CENTRO ESCOLAR CANTON EL TRAPICHITO,14110111971016,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54075,CDE CENTRO ESCOLAR CANTON EL VOLCAN #2,12172102971303,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,68341,CDE CENTRO ESCOLAR CANTON EL ZAMORAN,12171402971112,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,68801,CDE CENTRO ESCOLAR CANTON GUADALUPE,6121402971030,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92457,CDE CENTRO ESCOLAR CANTON GUARJILA,4072210141052,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92743,CDE CENTRO ESCOLAR CANTON LA CHAPINA,6142711131060,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92458,CDE CENTRO ESCOLAR CANTON LA ESPERANZA,8052406991015,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,62370,CDE CENTRO ESCOLAR CANTON LA FLOR,6130703971019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55709,CDE CENTRO ESCOLARCANTON LA HACHADURA,6140703971260,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,56257,CDE CENTRO ESCOLAR CANTON LA LAGUNA,11230509971029,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92459,CDE CENTRO ESCOLAR CANTON LA LUCHA,8212802971083,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,90062,CDE CENTRO ESCOLAR CANTON LA MORITA,12152802971036,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92196,CDE CENTRO ESCOLAR CANTON LA NUEVA ENCARNACION,5151405981021,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54781,CDE CENTRO ESCOLAR CANTON LA PALMA,6132102971014,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54782,CDE CENTRO ESCOLAR CANTON LA QUESERA,9030111971012,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92460,CDE CENTRO ESCOLAR CANTON LAS CRUCITAS,3022310141016,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54076,CDE CENTRO ESCOLAR CANTON LAS DELICIAS,12171402971104,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92744,CDE CENTRO ESCOLAR CANTON LAS TABLAS,3150703971019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54077,CDE CENTRO ESCOLAR CANTON LLANO DEL COYOL,12070204021019,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,82260,CDE CENTRO ESCOLAR CANTON LLANO GRANDE,11091302971010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92461,CDE CENTRO ESCOLAR CANTON LOMA ALTA,11022810141030,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,91016,CDE CENTRO ESCOLAR CANTON LOMA LARGA,14081402971013,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,86802,CDE CENTRO ESCOLAR CANTON LOMA LARGA EL DIVISADER,13062802971014,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54783,CDE CENTRO ESCOLAR CANTON LOS ESPERANZA,11082102971041,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92197,CDE CENTRO ESCOLAR CANTON LOS GRAMALES,3032310141011,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,57219,CDE CENTRO ESCOLAR CANTON LOS MAGUEYES,6140111972026,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,75374,CDE CENTRO ESCOLAR CANTON LOS MANGOS,3020106981010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54078,CDE CENTRO ESCOLAR CANTON LOS MOJONES,14160703971016,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,85978,CDE CENTRO ESCOLAR CANTON MAJAGUAL,6092702971012,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,72133,CDE CENTRO ESCOLAR CANTON MEJICAPA,11202802971013,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,61018,CDE CENTRO ESCOLAR CANTON MILINGO,6191402971055,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,58519,CDE  CENTRO ESCOLAR CANTON MIRAVALLES,6142507971033,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,93148,CDE CENTRO ESCOLAR CANTON OJOS DE AGUA,7022802971108,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92462,CDE CENTRO ESCOLAR CANTON PALACIOS,9042103971010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54431,CDE CENTRO ESCOLAR CANTON PIEDRAS BLANCAS,14122802971029,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,85373,CDE CENTRO ESCOLAR CANTON PLAN DE AMAYO,6141403971132,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,53611,CDE CENTRO ESCOLAR CANTON PLANES DE SAN SEBASTIAN,12100801961011,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54079,CDE CENTRO ESCOLAR CANTON PLANES DE SANTA LUCIA,12051302981018,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92463,CDE CENTRO ESCOLAR CANTON POTRERO DE JOCO,11072410141020,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54432,CDE CENTRO ESCOLAR CANTON PUENTE CUSCATLAN,11070101971015,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,93149,CDE CENTRO ESCOLAR CANTON PUERTO AVALOS,11082805991010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54784,CDE CENTRO ESCOLAR CANTON QUITASOL,4332802971017,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54785,CDE CENTRO ESCOLAR CANTON SAN ANTONIO CAMINOS,10101402971010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54080,CDE CENTRO ESCOLAR CANTON SAN ANTONIO SILVA,12170703971014,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,48663,CDE CENTRO ESCOLAR CANTON SAN BARTOLO,6072102971020,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,52258,CDE CENTRO ESCOLAR CANTON SAN CARLOS LEMPA,10112103971013,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92464,CDE CENTRO ESCOLAR CANTON SAN DIEGO BARRANCA HONDA,5152102971062,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54081,CDE CENTRO ESCOLAR CANTON SAN FELIPE,14122102971028,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92198,CDE CENTRO ESCOLAR CANTON SAN FELIPE,5152102971038,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92465,CDE CENTRO ESCOLAR CANTON SAN FRANCISCO ECHEVERRIA,9072110141045,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55391,CDE CENTRO ESCOLAR CANTON SAN FRANCISCO EL DORADO,9052102971020,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,58219,CDE CENTRO ESCOLAR CANTON SAN JOSE,12122802971013,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,55701,CDE CENTRO ESCOLAR CANTON SAN JOSE ABAJO,8192102971049,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92466,CDE CENTRO ESCOLAR CANTON SAN JOSECITO,8210703971010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,93150,CDE CENTRO ESCOLAR CANTON SAN JOSE CORTEZ,6192102971025,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,81608,CDE CENTRO ESCOLAR CANTON SAN JOSE LOS SITIOS,5192309971013,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92467,CDE CENTRO ESCOLAR CANTON SAN JUAN,12021403971017,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,54433,CDE CENTRO ESCOLAR CANTON SANTA ANITA,11111002971010,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,51942,CDE CENTRO ESCOLAR CANTON SANTA BARBARA,10112802971029,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,92468,CDE CENTRO ESCOLAR CANTON SANTA CLARA,12012110141029,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,47806,CDE CENTRO ESCOLAR CANTON SANTA LUCIA,5022802971011,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,52800,CDE CENTRO ESCOLAR CANTON SISIMITEPEC,3082805981013,3,MINISTERIO DE EDUCACION
